bg_width	 bg_height	 time	 ov_width	 ov_height	 pixRate	 pixel_time	
0	 512	 512	 128	 128	 0.410	 39.996	 25.003	
0	 512	 512	 256	 128	 0.825	 39.708	 25.184	
0	 512	 512	 256	 50	 0.320	 39.957	 25.027	
0	 512	 512	 320	 240	 1.889	 40.661	 24.594	
0	 512	 512	 300	 100	 0.739	 40.576	 24.645	
0	 512	 512	 512	 512	 6.621	 39.595	 25.256	
0	 800	 600	 128	 128	 0.269	 60.990	 16.396	
0	 800	 600	 256	 128	 0.529	 61.944	 16.144	
0	 800	 600	 256	 50	 0.213	 59.969	 16.675	
0	 800	 600	 320	 240	 1.238	 62.058	 16.114	
0	 800	 600	 300	 100	 0.485	 61.810	 16.179	
0	 800	 600	 512	 512	 4.279	 61.265	 16.323	
0	 1024	 1024	 128	 128	 0.419	 39.084	 25.586	
0	 1024	 1024	 256	 128	 0.827	 39.608	 25.248	
0	 1024	 1024	 256	 50	 0.322	 39.791	 25.131	
0	 1024	 1024	 320	 240	 1.892	 40.597	 24.633	
0	 1024	 1024	 300	 100	 0.745	 40.289	 24.821	
0	 1024	 1024	 512	 512	 6.530	 40.144	 24.911	
0	 1600	 1200	 128	 128	 0.274	 59.872	 16.702	
0	 1600	 1200	 256	 128	 0.537	 61.020	 16.388	
0	 1600	 1200	 256	 50	 0.216	 59.125	 16.913	
0	 1600	 1200	 320	 240	 1.251	 61.369	 16.295	
0	 1600	 1200	 300	 100	 0.503	 59.589	 16.782	
0	 1600	 1200	 512	 512	 4.333	 60.502	 16.528	
0	 1920	 1080	 128	 128	 0.280	 58.517	 17.089	
0	 1920	 1080	 256	 128	 0.541	 60.555	 16.514	
0	 1920	 1080	 256	 50	 0.217	 58.939	 16.967	
0	 1920	 1080	 320	 240	 1.274	 60.278	 16.590	
0	 1920	 1080	 300	 100	 0.495	 60.629	 16.494	
0	 1920	 1080	 512	 512	 4.335	 60.470	 16.537	
1	 512	 512	 128	 128	 0.057	 288.176	 3.470	
1	 512	 512	 256	 128	 0.106	 308.438	 3.242	
1	 512	 512	 256	 50	 0.039	 324.152	 3.085	
1	 512	 512	 320	 240	 0.241	 319.275	 3.132	
1	 512	 512	 300	 100	 0.099	 302.854	 3.302	
1	 512	 512	 512	 512	 0.621	 422.400	 2.367	
1	 800	 600	 128	 128	 0.039	 417.372	 2.396	
1	 800	 600	 256	 128	 0.083	 393.626	 2.540	
1	 800	 600	 256	 50	 0.031	 418.708	 2.388	
1	 800	 600	 320	 240	 0.172	 446.620	 2.239	
1	 800	 600	 300	 100	 0.074	 405.310	 2.467	
1	 800	 600	 512	 512	 0.591	 443.751	 2.254	
1	 1024	 1024	 128	 128	 0.052	 312.800	 3.197	
1	 1024	 1024	 256	 128	 0.110	 298.365	 3.352	
1	 1024	 1024	 256	 50	 0.041	 312.106	 3.204	
1	 1024	 1024	 320	 240	 0.242	 317.236	 3.152	
1	 1024	 1024	 300	 100	 0.109	 274.607	 3.642	
1	 1024	 1024	 512	 512	 0.814	 322.084	 3.105	
1	 1600	 1200	 128	 128	 0.044	 374.930	 2.667	
1	 1600	 1200	 256	 128	 0.084	 390.664	 2.560	
1	 1600	 1200	 256	 50	 0.032	 395.391	 2.529	
1	 1600	 1200	 320	 240	 0.199	 385.342	 2.595	
1	 1600	 1200	 300	 100	 0.091	 329.265	 3.037	
1	 1600	 1200	 512	 512	 0.651	 402.908	 2.482	
1	 1920	 1080	 128	 128	 0.054	 301.126	 3.321	
1	 1920	 1080	 256	 128	 0.088	 371.273	 2.693	
1	 1920	 1080	 256	 50	 0.033	 388.262	 2.576	
1	 1920	 1080	 320	 240	 0.192	 399.804	 2.501	
1	 1920	 1080	 300	 100	 0.093	 321.486	 3.111	
1	 1920	 1080	 512	 512	 0.658	 398.485	 2.510	
